date,slot,source_type,source_id,video_id,source_title,theme_cluster,article_angle,status
2026-06-21,AM,long,H49,cMctA-E3vhg,"Восстановление зрения. Урок 1: гармонизация мышц глаза",зрение/глаза,"Почему глаза устают не только от экрана: системный взгляд на мышцы, шею и напряжение",planned
2026-06-21,PM,long,H49,cMctA-E3vhg,"Восстановление зрения. Урок 1: гармонизация мышц глаза",зрение/глаза,Какие мягкие привычки помогают глазам отдыхать без обещаний чудесного восстановления,planned
2026-06-22,AM,long,H48,99IBG0TYVLs,"Восстановление зрения. Урок 2: улучшение питания глаз",зрение/питание тканей,"Почему зрение может проседать к вечеру: связь напряжения, кровотока и восстановления",planned
2026-06-22,PM,long,H48,99IBG0TYVLs,"Восстановление зрения. Урок 2: улучшение питания глаз",зрение/питание тканей,"Что заметить в теле, если глаза быстро устают: безопасная самопроверка",planned
2026-06-23,AM,long,H40,ZUJv02lVGVk,"Как выглядеть на 10 лет моложе: правда об инвазивной косметологии",лицо/молодость,"Морщины и отеки: почему дело может быть не только в коже",planned
2026-06-23,PM,long,H40,ZUJv02lVGVk,"Как выглядеть на 10 лет моложе: правда об инвазивной косметологии",лицо/молодость,"Ботокс, массажи и осанка: какая ошибка мешает лицу выглядеть свежее",planned
2026-06-24,AM,long,H32,KIk_B6Ydtzs,Психосоматика морщин,лицо/психосоматика,"Почему лицо “застывает”: как стресс и мимическое напряжение отражаются на коже",planned
2026-06-24,PM,long,H32,KIk_B6Ydtzs,Психосоматика морщин,лицо/психосоматика,"Что можно заметить по лицу без самодиагностики: мягкий телесный чек-лист",planned
2026-06-25,AM,long,H09,VizsXNBgiFc,Я недавно хейтил ботокс,ботокс/эстетика,"Ботокс не враг, но и не вся стратегия: что важно понять про лицо",planned
2026-06-25,PM,long,H09,VizsXNBgiFc,Я недавно хейтил ботокс,ботокс/эстетика,"Почему лицо стареет не только из-за морщин: телесный взгляд без крайностей",planned
2026-06-26,AM,long,H11,4GMVIkdmWd0,"Секреты молодости за копейки: проверка тренажеров",тренажеры/лицо,"Тренажеры для лица: когда они помогают, а когда создают лишнее напряжение",planned
2026-06-26,PM,long,H11,4GMVIkdmWd0,"Секреты молодости за копейки: проверка тренажеров",тренажеры/лицо,"Главная ошибка домашних бьюти-гаджетов: ждать эффект без понимания тела",planned
2026-06-27,AM,long,H47,ag2JgnhWStQ,Самокоррекция жевательной мускулатуры. Гармонизация ВНЧС,ВНЧС/челюсть,"Зажатая челюсть: почему от нее могут уставать лицо, шея и голова",planned
2026-06-27,PM,long,H47,ag2JgnhWStQ,Самокоррекция жевательной мускулатуры. Гармонизация ВНЧС,ВНЧС/челюсть,"Как понять, что вы сжимаете челюсть чаще, чем думаете",planned
2026-06-28,AM,long,H46,qjqbM3H1y-E,"Глотка, гортань, трахея. Связь органов и позвоночника",горло/шея,"Ком в горле: почему причина может быть не только в слизистой",planned
2026-06-28,PM,long,H46,qjqbM3H1y-E,"Глотка, гортань, трахея. Связь органов и позвоночника",горло/шея,"Горло, шея и дыхание: какие связи часто не замечают",planned
2026-06-29,AM,long,H18,K9I1OMUVGmU,Как убрать ком в горле без лекарств,ком в горле,Почему ком в горле возвращается после ОРВИ или стресса,planned
2026-06-29,PM,long,H18,K9I1OMUVGmU,Как убрать ком в горле без лекарств,ком в горле,"Что делать, если горло “зажато”: безопасный алгоритм наблюдения",planned
2026-06-30,AM,long,H23,Ev_h3I32R-Q,Почему нос не дышит? Зависимость от капель,нос/дыхание,"Нос не дышит: почему причина может быть не только в носу",planned
2026-06-30,PM,long,H23,Ev_h3I32R-Q,Почему нос не дышит? Зависимость от капель,нос/дыхание,"Зависимость от капель: какие телесные и бытовые факторы стоит проверить",planned
2026-07-01,AM,long,H30,NBEqVGS94QQ,Заложенность носа и психосоматика,нос/психосоматика,"Заложенность носа и стресс: почему дыхание ухудшается не только из-за простуды",planned
2026-07-01,PM,long,H30,NBEqVGS94QQ,Заложенность носа и психосоматика,нос/психосоматика,"Почему нос закладывает снова: системный взгляд без запугивания",planned
