date,slot,source_type,source_id,video_id,source_title,theme_cluster,article_angle,status
2026-08-01,AM,evergreen,H49,cMctA-E3vhg,Восстановление зрения. Урок 1: гармонизация мышц глаза,зрение/глаза,Глаза устают уже днем: почему отдыхать нужно не только от экрана,planned
2026-08-01,PM,evergreen,H49,cMctA-E3vhg,Восстановление зрения. Урок 1: гармонизация мышц глаза,зрение/глаза,"Что происходит с фокусом зрения, когда тело живет в постоянном напряжении",planned
2026-08-02,AM,evergreen,H48,99IBG0TYVLs,Восстановление зрения. Урок 2: улучшение питания глаз,зрение/питание тканей,"Почему глаза “садятся” к вечеру: роль шеи, сна и восстановления",planned
2026-08-02,PM,evergreen,H48,99IBG0TYVLs,Восстановление зрения. Урок 2: улучшение питания глаз,зрение/питание тканей,Усталость глаз и головная тяжесть: какие бытовые сигналы стоит заметить,planned
2026-08-03,AM,evergreen,H40,ZUJv02lVGVk,Как выглядеть на 10 лет моложе: правда об инвазивной косметологии,лицо/молодость,Лицо выглядит уставшим: почему кремы не всегда решают проблему,planned
2026-08-03,PM,evergreen,H40,ZUJv02lVGVk,Как выглядеть на 10 лет моложе: правда об инвазивной косметологии,лицо/молодость,"Отеки, мимика и осанка: как тело влияет на свежесть лица",planned
2026-08-04,AM,evergreen,H32,KIk_B6Ydtzs,Психосоматика морщин,лицо/психосоматика,Морщины как след напряжения: где заканчивается косметология и начинается привычка,planned
2026-08-04,PM,evergreen,H32,KIk_B6Ydtzs,Психосоматика морщин,лицо/психосоматика,"Почему лицо может стареть быстрее, если тело не расслабляется",planned
2026-08-05,AM,evergreen,H47,ag2JgnhWStQ,Самокоррекция жевательной мускулатуры. Гармонизация ВНЧС,ВНЧС/челюсть,Сжимаете зубы и не замечаете: как челюсть связана с шеей и лицом,planned
2026-08-05,PM,evergreen,H47,ag2JgnhWStQ,Самокоррекция жевательной мускулатуры. Гармонизация ВНЧС,ВНЧС/челюсть,Зажатая челюсть после стресса: что можно проверить у себя,planned
2026-08-06,AM,evergreen,H46,qjqbM3H1y-E,"Глотка, гортань, трахея. Связь органов и позвоночника",горло/шея,"Почему горло может ощущаться зажатым, даже если воспаления нет",planned
2026-08-06,PM,evergreen,H46,qjqbM3H1y-E,"Глотка, гортань, трахея. Связь органов и позвоночника",горло/шея,"Глотка, шея и дыхание: как тело создает ощущение внутреннего кома",planned
2026-08-07,AM,evergreen,H18,K9I1OMUVGmU,Как убрать ком в горле без лекарств,ком в горле,Ком в горле после болезни: почему симптом может задерживаться,planned
2026-08-07,PM,evergreen,H18,K9I1OMUVGmU,Как убрать ком в горле без лекарств,ком в горле,"Когда ком в горле связан со стрессом, а когда нельзя откладывать врача",planned
2026-08-08,AM,evergreen,H23,Ev_h3I32R-Q,Почему нос не дышит? Зависимость от капель,нос/дыхание,Почему нос закладывает без очевидной простуды: телесный взгляд,planned
2026-08-08,PM,evergreen,H23,Ev_h3I32R-Q,Почему нос не дышит? Зависимость от капель,нос/дыхание,Носовые капли помогают ненадолго: какие факторы поддерживают заложенность,planned
2026-08-09,AM,evergreen,H30,NBEqVGS94QQ,Заложенность носа и психосоматика,нос/психосоматика,"Дышать носом трудно: почему стоит смотреть на сон, шею и стресс",planned
2026-08-09,PM,evergreen,H30,NBEqVGS94QQ,Заложенность носа и психосоматика,нос/психосоматика,Заложенность носа возвращается: что тело может пытаться компенсировать,planned
2026-08-10,AM,evergreen,H21,sIBiarlyszo,Как избавиться от храпа. Опасные последствия храпа,храп/сон,Храп и усталость утром: почему сон может не восстанавливать,planned
2026-08-10,PM,evergreen,H21,sIBiarlyszo,Как избавиться от храпа. Опасные последствия храпа,храп/сон,Ночное дыхание: какие сигналы нельзя списывать на привычку,planned
2026-08-11,AM,evergreen,H24,lyZEd4qywyo,"ОРВИ, кашель, насморк: почему вы болеете снова и снова",ОРВИ/восстановление,Частые простуды: почему вопрос не только в иммунитете,planned
2026-08-11,PM,evergreen,H24,lyZEd4qywyo,"ОРВИ, кашель, насморк: почему вы болеете снова и снова",ОРВИ/восстановление,После ОРВИ нет сил: что мешает телу вернуться в норму,planned
2026-08-12,AM,evergreen,H36,kJQDgYpaVZU,Профилактика и самопомощь при ОРВИ,ОРВИ/самопомощь,"Самопомощь при простуде: где мягкая поддержка, а где перегруз",planned
2026-08-12,PM,evergreen,H36,kJQDgYpaVZU,Профилактика и самопомощь при ОРВИ,ОРВИ/самопомощь,"Почему тело просит отдыха раньше, чем появляется высокая температура",planned
2026-08-13,AM,evergreen,H04,feqpaweaE9E,Рабочие техники от головной боли,головная боль,Головная боль после стресса: почему шея и челюсть часто рядом,planned
2026-08-13,PM,evergreen,H04,feqpaweaE9E,Рабочие техники от головной боли,головная боль,Болит голова к вечеру: какие телесные привычки стоит проверить,planned
2026-08-14,AM,evergreen,H28,He9h4c8cGF0,"Напряжение плеча, скрутка плечевого пояса",плечо/шея,Плечи постоянно подняты: как это влияет на дыхание и голову,planned
2026-08-14,PM,evergreen,H28,He9h4c8cGF0,"Напряжение плеча, скрутка плечевого пояса",плечо/шея,Скованность плеча: почему проблема может быть не только в суставе,planned
2026-08-15,AM,evergreen,H12,sx5ur-Nx4YA,Остеохондроз и боль в спине,спина/остеохондроз,Боль в спине и “остеохондроз”: почему диагноз не объясняет весь образ жизни,planned
2026-08-15,PM,evergreen,H12,sx5ur-Nx4YA,Остеохондроз и боль в спине,спина/остеохондроз,"Почему спина устает быстрее, если тело не умеет менять позу",planned
2026-08-16,AM,evergreen,H13,GWMp40DKjRg,Истинные причины сколиоза,сколиоз/осанка,Осанка уходит в сторону: почему тело выбирает асимметрию,planned
2026-08-16,PM,evergreen,H13,GWMp40DKjRg,Истинные причины сколиоза,сколиоз/осанка,Сколиоз и привычки движения: что можно заметить без самодиагностики,planned
2026-08-17,AM,evergreen,H31,sNWwS39EPxU,Изжога и рефлюкс. Клинические разборы,ЖКТ/рефлюкс,Изжога на фоне стресса: почему ЖКТ реагирует на напряжение,planned
2026-08-17,PM,evergreen,H31,sNWwS39EPxU,Изжога и рефлюкс. Клинические разборы,ЖКТ/рефлюкс,Рефлюкс возвращается: какие телесные факторы стоит обсудить со специалистом,planned
2026-08-18,AM,evergreen,H01,3CYA3ALcuoc,Почему нарушается желчеотток,ЖКТ/желчеотток,Желчеотток и напряжение: почему живот не любит постоянный стресс,planned
2026-08-18,PM,evergreen,H01,3CYA3ALcuoc,Почему нарушается желчеотток,ЖКТ/желчеотток,Тяжесть после еды: когда стоит смотреть не только на рацион,planned
2026-08-19,AM,evergreen,H34,qvyxzbw9rRA,Висцеральная самокоррекция,висцеральная практика,Работа с животом: почему мягкость важнее силы,planned
2026-08-19,PM,evergreen,H34,qvyxzbw9rRA,Висцеральная самокоррекция,висцеральная практика,Висцеральные практики дома: что нельзя делать через боль,planned
2026-08-20,AM,evergreen,H35,qMLzGSJ8wsI,Лимфодренажная тренировка,лимфа/отеки,"Отеки к вечеру: почему лимфе важно движение, дыхание и сон",planned
2026-08-20,PM,evergreen,H35,qMLzGSJ8wsI,Лимфодренажная тренировка,лимфа/отеки,Лимфодренаж без фанатизма: как не превратить помощь в стресс,planned
2026-08-21,AM,evergreen,H41,Ix8nF-3mySE,Вальгус у детей. Остеопатическая зарядка,дети/стопы,Стопы ребенка и осанка: почему тело развивается как система,planned
2026-08-21,PM,evergreen,H41,Ix8nF-3mySE,Вальгус у детей. Остеопатическая зарядка,дети/стопы,Вальгус у детей: что важно наблюдать родителям без паники,planned
2026-08-22,AM,evergreen,H42,2W-qqDravuM,Остеопатический комплекс для мам,мамы/восстановление,Мама устает телом: почему восстановление не должно быть гонкой,planned
2026-08-22,PM,evergreen,H42,2W-qqDravuM,Остеопатический комплекс для мам,мамы/восстановление,"Спина, таз и дыхание после нагрузки: мягкий взгляд на тело мамы",planned
2026-08-23,AM,evergreen,H02,jnW6ImEGmUQ,Причина опущения матки и влагалища,женское здоровье,Деликатные симптомы: почему тело не надо терпеть молча,planned
2026-08-23,PM,evergreen,H02,jnW6ImEGmUQ,Причина опущения матки и влагалища,женское здоровье,Тазовое дно и напряжение: когда упражнения могут быть не первым шагом,planned
2026-08-24,AM,evergreen,H22,frh6O2I9zXM,Как избавиться от сигарет за 15 минут,курение/привычки,Тяга к сигаретам и стресс: почему привычка живет не только в голове,planned
2026-08-24,PM,evergreen,H22,frh6O2I9zXM,Как избавиться от сигарет за 15 минут,курение/привычки,Бросить курить: что телу нужно кроме силы воли,planned
